task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	34/be92ca	1401266	convert_raw_to_mzdb (22)	COMPLETED	0	2022-07-06 13:23:16.288	2m 59s	2m 58s	136.9%	2.3 GB	139.1 GB	3.1 GB	851.9 MB
11	f9/50d945	1405289	convert_raw_to_mzdb (9)	COMPLETED	0	2022-07-06 13:26:14.897	3m 1s	3m	136.1%	2.4 GB	139.3 GB	3.2 GB	877.5 MB
26	e1/d22348	1409381	convert_raw_to_mzdb (25)	COMPLETED	0	2022-07-06 13:29:15.627	2m 58s	2m 57s	138.9%	2.4 GB	139.3 GB	3.2 GB	883.7 MB
10	83/57be7b	1413435	convert_raw_to_mzdb (8)	COMPLETED	0	2022-07-06 13:32:13.818	3m 3s	3m 2s	135.6%	2.4 GB	139.3 GB	3.3 GB	901.7 MB
16	bd/4fba51	1417555	convert_raw_to_mzdb (16)	COMPLETED	0	2022-07-06 13:35:16.696	2m 58s	2m 57s	137.1%	2.4 GB	139.3 GB	3.2 GB	872 MB
3	08/e5a3c4	1421552	convert_raw_to_mzdb (2)	COMPLETED	0	2022-07-06 13:38:14.968	3m 9s	3m 8s	135.1%	2.4 GB	139.3 GB	3.3 GB	918.5 MB
21	ef/cf0309	1425797	convert_raw_to_mzdb (17)	COMPLETED	0	2022-07-06 13:41:24.324	3m 2s	3m 1s	137.1%	2.4 GB	139.3 GB	3.3 GB	889.7 MB
25	1d/320ea0	1429898	convert_raw_to_mzdb (24)	COMPLETED	0	2022-07-06 13:44:26.184	2m 53s	2m 52s	136.3%	2.4 GB	139.3 GB	3.2 GB	868.5 MB
24	08/8dd988	1433838	convert_raw_to_mzdb (23)	COMPLETED	0	2022-07-06 13:47:18.772	2m 55s	2m 54s	139.2%	2.4 GB	139.3 GB	3.2 GB	883 MB
17	14/227780	1437797	convert_raw_to_mzdb (20)	COMPLETED	0	2022-07-06 13:50:13.592	2m 58s	2m 55s	137.1%	2.4 GB	139.3 GB	3.2 GB	870.8 MB
18	01/e8c7b6	1441820	convert_raw_to_mzdb (21)	COMPLETED	0	2022-07-06 13:53:11.882	3m 4s	3m 3s	133.5%	2.4 GB	139.3 GB	3.2 GB	884.8 MB
14	b6/086436	1445972	convert_raw_to_mzdb (14)	COMPLETED	0	2022-07-06 13:56:15.932	2m 58s	2m 57s	138.8%	2.4 GB	139.4 GB	3.3 GB	890.4 MB
9	2a/b75ffb	1449962	convert_raw_to_mzdb (7)	COMPLETED	0	2022-07-06 13:59:14.144	3m 3s	3m 2s	135.4%	2.4 GB	139.3 GB	3.3 GB	897.5 MB
20	1a/c9a830	1454091	convert_raw_to_mzdb (18)	COMPLETED	0	2022-07-06 14:02:17.251	2m 50s	2m 49s	139.2%	2.4 GB	139.2 GB	3.1 GB	857.1 MB
2	df/2fc0da	1457932	convert_raw_to_mzdb (1)	COMPLETED	0	2022-07-06 14:05:07.755	2m 57s	2m 56s	137.8%	2.4 GB	139.2 GB	3.2 GB	894.5 MB
7	bc/cd08ea	1461947	convert_raw_to_mzdb (5)	COMPLETED	0	2022-07-06 14:08:04.966	3m	2m 59s	133.6%	2.4 GB	139.3 GB	3.2 GB	861.5 MB
19	f1/ddeef5	1466088	convert_raw_to_mzdb (19)	COMPLETED	0	2022-07-06 14:11:05.108	2m 53s	2m 52s	139.7%	2.4 GB	139.4 GB	3.3 GB	881.4 MB
4	53/75195e	1470015	convert_raw_to_mzdb (3)	COMPLETED	0	2022-07-06 14:13:58.065	2m 48s	2m 47s	139.7%	2.3 GB	139.1 GB	3.2 GB	861.2 MB
12	23/709870	1473894	convert_raw_to_mzdb (12)	COMPLETED	0	2022-07-06 14:16:45.821	2m 59s	2m 58s	135.4%	2.4 GB	139.3 GB	3.3 GB	900.2 MB
27	21/9fe0ac	1477996	convert_raw_to_mzdb (26)	COMPLETED	0	2022-07-06 14:19:44.872	2m 53s	2m 52s	135.8%	2.3 GB	139.3 GB	3.2 GB	879.6 MB
13	c2/dd1489	1481919	convert_raw_to_mzdb (13)	COMPLETED	0	2022-07-06 14:22:37.970	3m 1s	3m	135.1%	2.4 GB	139.2 GB	3.2 GB	901.5 MB
8	a3/26ba75	1486000	convert_raw_to_mzdb (6)	COMPLETED	0	2022-07-06 14:25:39.262	2m 53s	2m 51s	135.8%	2.3 GB	139.1 GB	3.2 GB	881.4 MB
28	4e/a3aade	1489889	convert_raw_to_mzdb (27)	COMPLETED	0	2022-07-06 14:28:32.255	3m 2s	3m 1s	133.0%	2.4 GB	139.2 GB	3.3 GB	914.7 MB
5	a2/06c9c9	1493991	convert_raw_to_mzdb (4)	COMPLETED	0	2022-07-06 14:31:34.140	3m 5s	3m 3s	137.5%	2.4 GB	139.4 GB	3.3 GB	923.4 MB
1	22/750547	1498136	convert_raw_to_mzdb (10)	COMPLETED	0	2022-07-06 14:34:38.678	2m 53s	2m 52s	136.0%	2.3 GB	139.3 GB	3.2 GB	879.5 MB
22	92/03680f	1502595	create_decoy_database (1)	COMPLETED	0	2022-07-06 14:37:31.366	3.3s	2s	324.0%	300.9 MB	4.7 GB	29.1 MB	7.9 MB
6	d0/a2c850	1502999	convert_raw_to_mzdb (11)	COMPLETED	0	2022-07-06 14:37:34.720	2m 52s	2m 51s	139.8%	2.4 GB	139.3 GB	3.2 GB	875.2 MB
15	65/5655a3	1506909	convert_raw_to_mzdb (15)	COMPLETED	0	2022-07-06 14:40:26.522	2m 58s	2m 56s	135.9%	2.4 GB	139.3 GB	3.3 GB	906.3 MB
29	5f/47f8cd	1510906	convert_mzdb_to_mgf (1)	COMPLETED	0	2022-07-06 14:43:24.131	13.9s	12.5s	100.2%	697.3 MB	135 GB	851.9 MB	293.9 MB
30	b4/54b445	1512048	convert_mzdb_to_mgf (2)	COMPLETED	0	2022-07-06 14:43:38.008	13.4s	12.4s	100.3%	710 MB	135 GB	877.5 MB	301.8 MB
31	f1/f24944	1513190	convert_mzdb_to_mgf (3)	COMPLETED	0	2022-07-06 14:43:51.466	14.2s	13.1s	98.0%	692.5 MB	135 GB	883.7 MB	305.3 MB
32	43/a78e9e	1514312	convert_mzdb_to_mgf (4)	COMPLETED	0	2022-07-06 14:44:05.728	15.7s	14.6s	100.3%	681.8 MB	135.1 GB	901.7 MB	328.4 MB
33	7a/474d45	1515460	convert_mzdb_to_mgf (5)	COMPLETED	0	2022-07-06 14:44:21.466	13.7s	12.5s	100.3%	710.4 MB	135 GB	872 MB	299.3 MB
34	1b/97ad08	1516593	convert_mzdb_to_mgf (6)	COMPLETED	0	2022-07-06 14:44:35.135	15.2s	13.9s	100.1%	709.6 MB	135.1 GB	918.5 MB	329.4 MB
35	3b/d09a36	1517707	convert_mzdb_to_mgf (7)	COMPLETED	0	2022-07-06 14:44:50.317	13.6s	12.5s	100.3%	713.1 MB	135.1 GB	889.8 MB	306.9 MB
36	fd/45f6e1	1518842	convert_mzdb_to_mgf (8)	COMPLETED	0	2022-07-06 14:45:03.944	14.9s	13.7s	100.3%	673.6 MB	135 GB	868.5 MB	298.8 MB
37	45/df5867	1520031	convert_mzdb_to_mgf (9)	COMPLETED	0	2022-07-06 14:45:18.889	13.6s	12.6s	100.2%	711.1 MB	135 GB	883.1 MB	304.6 MB
38	96/c15866	1521171	convert_mzdb_to_mgf (10)	COMPLETED	0	2022-07-06 14:45:32.514	13.3s	12.1s	100.1%	716.4 MB	135 GB	870.9 MB	299.2 MB
39	32/73c5ec	1522299	convert_mzdb_to_mgf (11)	COMPLETED	0	2022-07-06 14:45:45.821	13.7s	12.6s	100.2%	710.2 MB	135 GB	884.8 MB	307.7 MB
40	fd/f836a7	1523443	convert_mzdb_to_mgf (12)	COMPLETED	0	2022-07-06 14:45:59.546	13.7s	12.6s	100.0%	706.3 MB	135.1 GB	890.5 MB	305.4 MB
41	8d/afa7bb	1524623	convert_mzdb_to_mgf (13)	COMPLETED	0	2022-07-06 14:46:13.232	14s	12.9s	100.3%	721.3 MB	135.1 GB	897.5 MB	317.9 MB
42	f2/dbe051	1525735	convert_mzdb_to_mgf (14)	COMPLETED	0	2022-07-06 14:46:27.197	13s	11.9s	100.2%	721.6 MB	135 GB	857.1 MB	294.9 MB
43	27/069b5e	1526803	convert_mzdb_to_mgf (15)	COMPLETED	0	2022-07-06 14:46:40.325	15s	13.6s	99.4%	705.7 MB	135.1 GB	894.5 MB	318.7 MB
44	8f/6e450c	1527960	convert_mzdb_to_mgf (16)	COMPLETED	0	2022-07-06 14:46:55.300	13.9s	12.8s	96.8%	696.5 MB	135 GB	861.5 MB	299.1 MB
45	c1/046a3f	1529101	convert_mzdb_to_mgf (17)	COMPLETED	0	2022-07-06 14:47:09.255	13.7s	12.6s	99.5%	696 MB	135 GB	881.4 MB	302.4 MB
46	e4/48b8d4	1530195	convert_mzdb_to_mgf (18)	COMPLETED	0	2022-07-06 14:47:23.004	15.5s	14.3s	85.3%	640.5 MB	135 GB	861.3 MB	291.4 MB
